recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Gemini closet	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/NH-Gemini_closet.png/revision/latest/scale-to-width-down/50?cb=20200327123010"" 	 alt=""NH-Gemini closet""  	class="""" 	 	data-image-key=""NH-Gemini_closet.png"" 	data-image-name=""NH-Gemini closet.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	Celeste	NA	NA	NA
Giant teddy bear	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Giant_teddy_bear.png/revision/latest/scale-to-width-down/50?cb=20200329121706"" 	 alt=""NH-Giant teddy bear""  	class="""" 	 	data-image-key=""NH-Giant_teddy_bear.png"" 	data-image-name=""NH-Giant teddy bear.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-furniture-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195013"" 	 alt=""NH-furniture-icon""  	class="""" 	 	data-image-key=""NH-furniture-icon.png"" 	data-image-name=""NH-furniture-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>Papa bear
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-furniture-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195013"" 	 alt=""NH-furniture-icon""  	class="""" 	 	data-image-key=""NH-furniture-icon.png"" 	data-image-name=""NH-furniture-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>Mama bear
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-furniture-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195013"" 	 alt=""NH-furniture-icon""  	class="""" 	 	data-image-key=""NH-furniture-icon.png"" 	data-image-name=""NH-furniture-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>Baby bear"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104"" 	 alt=""NH3.0x3.0sq""  	class=""thumbimage "" 	 	data-image-key=""NH3.0x3.0sq.jpg"" 	data-image-name=""NH3.0x3.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	NA	1x Papa bear, 1x Mama bear, 1x Baby bear	3.0x3.0
Golden casket	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Golden_casket.png/revision/latest/scale-to-width-down/50?cb=20200329093153"" 	 alt=""NH-Golden casket""  	class="""" 	 	data-image-key=""NH-Golden_casket.png"" 	data-image-name=""NH-Golden casket.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Golden seat	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Golden_seat.png/revision/latest/scale-to-width-down/50?cb=20200329093207"" 	 alt=""NH-Golden seat""  	class="""" 	 	data-image-key=""NH-Golden_seat.png"" 	data-image-name=""NH-Golden seat.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Golden toilet	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2d/NH-Golden_toilet.png/revision/latest/scale-to-width-down/50?cb=20200329093220"" 	 alt=""NH-Golden toilet""  	class="""" 	 	data-image-key=""NH-Golden_toilet.png"" 	data-image-name=""NH-Golden toilet.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Gong	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/NH-Gong.png/revision/latest/scale-to-width-down/50?cb=20200326021416"" 	 alt=""NH-Gong""  	class="""" 	 	data-image-key=""NH-Gong.png"" 	data-image-name=""NH-Gong.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	NA	6x iron nugget, 5x wood	2.0x1.0
Grass standee	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Grass_standee.png/revision/latest/scale-to-width-down/50?cb=20200328035600"" 	 alt=""NH-Grass standee""  	class="""" 	 	data-image-key=""NH-Grass_standee.png"" 	data-image-name=""NH-Grass standee.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH1.0x0.5sq.jpg/revision/latest?cb=20200327084231"" 	 alt=""NH1.0x0.5sq""  	class="""" 	 	data-image-key=""NH1.0x0.5sq.jpg"" 	data-image-name=""NH1.0x0.5sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	480 Bells	2x wood, 2x softwood	1.0x0.5
Green-leaf pile	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Green-leaf_pile.png/revision/latest/scale-to-width-down/50?cb=20200325181826"" 	 alt=""NH-Green-leaf pile""  	class="""" 	 	data-image-key=""NH-Green-leaf_pile.png"" 	data-image-name=""NH-Green-leaf pile.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642"" 	 alt=""NH1.5x1.5sq""  	class="""" 	 	data-image-key=""NH1.5x1.5sq.jpg"" 	data-image-name=""NH1.5x1.5sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	600 Bells	1x young spring bamboo, 10x clump of weeds	1.5x1.5
Hay bed	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Hay_bed.png/revision/latest/scale-to-width-down/50?cb=20200325181833"" 	 alt=""NH-Hay bed""  	class="""" 	 	data-image-key=""NH-Hay_bed.png"" 	data-image-name=""NH-Hay bed.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Unlocked when Tom Nook gives you your first recipes?	400 Bells	1x young spring bamboo, 10x clump of weeds	2.0x1.0
Hearth	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Hearth.png/revision/latest/scale-to-width-down/50?cb=20200325181840"" 	 alt=""NH-Hearth""  	class="""" 	 	data-image-key=""NH-Hearth.png"" 	data-image-name=""NH-Hearth.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617"" 	 alt=""NH2.0x2.0sq""  	class="""" 	 	data-image-key=""NH2.0x2.0sq.jpg"" 	data-image-name=""NH2.0x2.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Wildest Dreams DIY	5,470 Bells	2x bamboo piece, 5x iron nugget, 4x clay, 5x hardwood	2.0x2.0
Hedge standee	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Hedge_standee.png/revision/latest/scale-to-width-down/50?cb=20200328035732"" 	 alt=""NH-Hedge standee""  	class="""" 	 	data-image-key=""NH-Hedge_standee.png"" 	data-image-name=""NH-Hedge standee.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Illuminated present	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/NH-Illuminated_present.png/revision/latest/scale-to-width-down/50?cb=20200329100020"" 	 alt=""NH-Illuminated present""  	class="""" 	 	data-image-key=""NH-Illuminated_present.png"" 	data-image-name=""NH-Illuminated present.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Illuminated reindeer	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Illuminated_reindeer.png/revision/latest/scale-to-width-down/50?cb=20200329100033"" 	 alt=""NH-Illuminated reindeer""  	class="""" 	 	data-image-key=""NH-Illuminated_reindeer.png"" 	data-image-name=""NH-Illuminated reindeer.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Illuminated snowflakes	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Illuminated_snowflakes.png/revision/latest/scale-to-width-down/50?cb=20200329121734"" 	 alt=""NH-Illuminated snowflakes""  	class="""" 	 	data-image-key=""NH-Illuminated_snowflakes.png"" 	data-image-name=""NH-Illuminated snowflakes.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Illuminated tree	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Illuminated_tree.png/revision/latest/scale-to-width-down/50?cb=20200329100044"" 	 alt=""NH-Illuminated tree""  	class="""" 	 	data-image-key=""NH-Illuminated_tree.png"" 	data-image-name=""NH-Illuminated tree.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Iron closet	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Iron_closet.png/revision/latest/scale-to-width-down/50?cb=20200329053011"" 	 alt=""NH-Iron closet""  	class="""" 	 	data-image-key=""NH-Iron_closet.png"" 	data-image-name=""NH-Iron closet.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"12x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	NA	12x iron nugget	1.0x1.0
Iron frame	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b6/NH-Iron_frame.png/revision/latest/scale-to-width-down/50?cb=20200329053640"" 	 alt=""NH-Iron frame""  	class="""" 	 	data-image-key=""NH-Iron_frame.png"" 	data-image-name=""NH-Iron frame.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Iron garden bench	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Iron_garden_bench.png/revision/latest/scale-to-width-down/50?cb=20200326035754"" 	 alt=""NH-Iron garden bench""  	class="""" 	 	data-image-key=""NH-Iron_garden_bench.png"" 	data-image-name=""NH-Iron garden bench.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	6,000 Bells	8x iron nugget	2.0x1.0
Iron garden chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/NH-Iron_garden_chair.png/revision/latest/scale-to-width-down/50?cb=20200326035816"" 	 alt=""NH-Iron garden chair""  	class="""" 	 	data-image-key=""NH-Iron_garden_chair.png"" 	data-image-name=""NH-Iron garden chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Tom Nook after receiving first three housing kits
Message in a bottle"	2,250 Bells	3x iron nugget	1.0x1.0
Iron garden table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/18/NH-Iron_garden_table.png/revision/latest/scale-to-width-down/50?cb=20200326035832"" 	 alt=""NH-Iron garden table""  	class="""" 	 	data-image-key=""NH-Iron_garden_table.png"" 	data-image-name=""NH-Iron garden table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook after receiving first three housing kits	3,750 Bells	5x iron nugget	1.0x1.0
Iron hanger stand	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Iron_hanger_stand.png/revision/latest/scale-to-width-down/50?cb=20200329121752"" 	 alt=""NH-Iron hanger stand""  	class="""" 	 	data-image-key=""NH-Iron_hanger_stand.png"" 	data-image-name=""NH-Iron hanger stand.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Iron worktable	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Iron_worktable.png/revision/latest/scale-to-width-down/50?cb=20200326035938"" 	 alt=""NH-Iron worktable""  	class="""" 	 	data-image-key=""NH-Iron_worktable.png"" 	data-image-name=""NH-Iron worktable.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Island resident
Message in a bottle"	NA	10x iron nugget	2.0x1.0
Iron shelf	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Iron_shelf.png/revision/latest/scale-to-width-down/50?cb=20200329055314"" 	 alt=""NH-Iron shelf""  	class="""" 	 	data-image-key=""NH-Iron_shelf.png"" 	data-image-name=""NH-Iron shelf.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"14x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class=""thumbimage "" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	10,500 Bells	14x iron nugget	2.0x1.0
Ironwood bed	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/NH-Ironwood_bed.png/revision/latest/scale-to-width-down/50?cb=20200326040138"" 	 alt=""NH-Ironwood bed""  	class="""" 	 	data-image-key=""NH-Ironwood_bed.png"" 	data-image-name=""NH-Ironwood bed.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"20x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	NA	20x wood, 10x iron nugget	2.0x1.0
Ironwood cart	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/NH-Ironwood_cart.png/revision/latest/scale-to-width-down/50?cb=20200327141053"" 	 alt=""NH-Ironwood cart""  	class="""" 	 	data-image-key=""NH-Ironwood_cart.png"" 	data-image-name=""NH-Ironwood cart.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	NA	6x wood, 4x iron nugget	1.0x1.0
Ironwood chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/NH-Ironwood_chair.png/revision/latest/scale-to-width-down/50?cb=20200326215907"" 	 alt=""NH-Ironwood chair""  	class="""" 	 	data-image-key=""NH-Ironwood_chair.png"" 	data-image-name=""NH-Ironwood chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	NA	3x wood, 2x iron nugget	2.0x1.0
Ironwood cupboard	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/NH-Ironwood_cupboard.png/revision/latest/scale-to-width-down/50?cb=20200327140905"" 	 alt=""NH-Ironwood cupboard""  	class="""" 	 	data-image-key=""NH-Ironwood_cupboard.png"" 	data-image-name=""NH-Ironwood cupboard.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
