Name	Image	Price	Location	Shadow size	Time	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Red snapper	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/Red_Snapper_HHD_Icon.png/revision/latest?cb=20161105203650"" 	 alt=""Red Snapper HHD Icon""  	class="""" 	 	data-image-key=""Red_Snapper_HHD_Icon.png"" 	data-image-name=""Red Snapper HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	3000	Sea	4	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Dab	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Dab_HHD_Icon.png/revision/latest?cb=20161105194714"" 	 alt=""Dab HHD Icon""  	class="""" 	 	data-image-key=""Dab_HHD_Icon.png"" 	data-image-name=""Dab HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	300	Sea	3	All day	✓	✓	✓	✓	-	-	-	-	-	✓	✓	✓
Olive flounder	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/Olive_Flounder_HHD_Icon.png/revision/latest?cb=20161105202745"" 	 alt=""Olive Flounder HHD Icon""  	class="""" 	 	data-image-key=""Olive_Flounder_HHD_Icon.png"" 	data-image-name=""Olive Flounder HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	800	Sea	5	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Squid	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Squid_HHD_Icon.png/revision/latest?cb=20161105204858"" 	 alt=""Squid HHD Icon""  	class="""" 	 	data-image-key=""Squid_HHD_Icon.png"" 	data-image-name=""Squid HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	500	Sea	3	All day	✓	✓	✓	✓	✓	✓	✓	✓	-	-	-	✓
Moray eel	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/78/Moray_Eel_HHD_Icon.png/revision/latest?cb=20161105202356"" 	 alt=""Moray Eel HHD Icon""  	class="""" 	 	data-image-key=""Moray_Eel_HHD_Icon.png"" 	data-image-name=""Moray Eel HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	2000	Sea	Narrow	All day	-	-	-	-	-	-	-	✓	✓	✓	-	-
Ribbon eel	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/Ribbon_Eel_HHD_Icon.png/revision/latest?cb=20161105203807"" 	 alt=""Ribbon Eel HHD Icon""  	class="""" 	 	data-image-key=""Ribbon_Eel_HHD_Icon.png"" 	data-image-name=""Ribbon Eel HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	600	Sea	Narrow	All day	-	-	-	-	-	✓	✓	✓	✓	✓	-	-
Tuna	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Tuna_HHD_Icon.png/revision/latest?cb=20161105205357"" 	 alt=""Tuna HHD Icon""  	class="""" 	 	data-image-key=""Tuna_HHD_Icon.png"" 	data-image-name=""Tuna HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	7000	Pier	6	All day	✓	✓	✓	✓	-	-	-	-	-	-	✓	✓
Blue marlin	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Blue_Marlin_HHD_Icon.png/revision/latest?cb=20161105193638"" 	 alt=""Blue Marlin HHD Icon""  	class="""" 	 	data-image-key=""Blue_Marlin_HHD_Icon.png"" 	data-image-name=""Blue Marlin HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	10000	Pier	6	All day	✓	✓	✓	✓	-	-	✓	✓	✓	-	✓	✓
Giant trevally	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Giant_Trevally_HHD_Icon.png/revision/latest?cb=20161105195630"" 	 alt=""Giant Trevally HHD Icon""  	class="""" 	 	data-image-key=""Giant_Trevally_HHD_Icon.png"" 	data-image-name=""Giant Trevally HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	4500	Pier	5	All day	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Mahi-mahi	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Mahi-Mahi_NH_Icon.png/revision/latest?cb=20200323203050"" 	 alt=""Mahi-Mahi NH Icon""  	class="""" 	 	data-image-key=""Mahi-Mahi_NH_Icon.png"" 	data-image-name=""Mahi-Mahi NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	6000	Pier	5	All day	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Ocean sunfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/Ocean_Sunfish_HHD_Icon.png/revision/latest?cb=20161105202704"" 	 alt=""Ocean Sunfish HHD Icon""  	class="""" 	 	data-image-key=""Ocean_Sunfish_HHD_Icon.png"" 	data-image-name=""Ocean Sunfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	4000	Sea	6 (Fin)	4 AM - 9 PM	-	-	-	-	-	-	✓	✓	✓	-	-	-
Ray	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b9/Ray_HHD_Icon.png/revision/latest?cb=20161105203617"" 	 alt=""Ray HHD Icon""  	class="""" 	 	data-image-key=""Ray_HHD_Icon.png"" 	data-image-name=""Ray HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	3000	Sea	5	4 AM - 9 PM	-	-	-	-	-	-	-	✓	✓	✓	✓	-
Saw shark	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/Saw_Shark_HHD_Icon.png/revision/latest?cb=20161105204119"" 	 alt=""Saw Shark HHD Icon""  	class="""" 	 	data-image-key=""Saw_Shark_HHD_Icon.png"" 	data-image-name=""Saw Shark HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	12000	Sea	6 (Fin)	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Hammerhead shark	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Hammerhead_Shark_HHD_Icon.png/revision/latest?cb=20161105200656"" 	 alt=""Hammerhead Shark HHD Icon""  	class="""" 	 	data-image-key=""Hammerhead_Shark_HHD_Icon.png"" 	data-image-name=""Hammerhead Shark HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	8000	Sea	6 (Fin)	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Great white shark	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Shark_HHD_Icon.png/revision/latest?cb=20161105204315"" 	 alt=""Shark HHD Icon""  	class="""" 	 	data-image-key=""Shark_HHD_Icon.png"" 	data-image-name=""Shark HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	Sea	6 (Fin)	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Whale shark	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Whale_Shark_HHD_Icon.png/revision/latest?cb=20161105205615"" 	 alt=""Whale Shark HHD Icon""  	class="""" 	 	data-image-key=""Whale_Shark_HHD_Icon.png"" 	data-image-name=""Whale Shark HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	13000	Sea	6 (Fin)	All day	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Suckerfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/Suckerfish_NH_Icon.png/revision/latest?cb=20200323203407"" 	 alt=""Suckerfish NH Icon""  	class="""" 	 	data-image-key=""Suckerfish_NH_Icon.png"" 	data-image-name=""Suckerfish NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1500	Sea	6 (Fin)	All day	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Football fish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Football_Fish_HHD_Icon.png/revision/latest?cb=20161105195415"" 	 alt=""Football Fish HHD Icon""  	class="""" 	 	data-image-key=""Football_Fish_HHD_Icon.png"" 	data-image-name=""Football Fish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	2500	Sea	4	4 PM - 9 AM	✓	✓	✓	-	-	-	-	-	-	-	✓	✓
Oarfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/Oarfish_HHD_Icon.png/revision/latest?cb=20161105202700"" 	 alt=""Oarfish HHD Icon""  	class="""" 	 	data-image-key=""Oarfish_HHD_Icon.png"" 	data-image-name=""Oarfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	9000	Sea	6	All day	✓	✓	✓	✓	✓	-	-	-	-	-	-	✓
Barreleye	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/Barreleye_NH_Icon.png/revision/latest?cb=20200323203013"" 	 alt=""Barreleye NH Icon""  	class="""" 	 	data-image-key=""Barreleye_NH_Icon.png"" 	data-image-name=""Barreleye NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	Sea	2	9 PM - 4 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Coelacanth	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/78/Coelacanth_HHD_Icon.png/revision/latest?cb=20161105194437"" 	 alt=""Coelacanth HHD Icon""  	class="""" 	 	data-image-key=""Coelacanth_HHD_Icon.png"" 	data-image-name=""Coelacanth HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	Sea (Raining)	6	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
